*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
Cold Brew Filters,Cold Brew Filters,,Cold Brew Filters,16.50,PACK,GST on Expenses,,,,,,,Active,Untracked
Contractor,Chef Services,,Chef Services,0.00,330,GST Free Expenses,,,,,,,Active,Untracked
COON,Tasty Cheese,,Tasty Cheese,15.80,310,GST Free Expenses,,,,,,,Active,Untracked
COR,Coriander,,Coriander Market - Each,3.00,310,GST on Expenses,,,,,,,Active,Untracked
Corn Flour Maize,Corn Flour,,Corn Flour,18.50,310,GST Free Expenses,,,,,,,Active,Untracked
Corona,Corona,,Corona,51.95,310,GST on Expenses,,,,,,,Active,Untracked
Cottees Caramel,Caramel Topping,,Caramel Topping,8.30,310,GST Free Expenses,,,,,,,Active,Untracked
CotteesChoc,Choc Topping,,Choc Topping,8.65,310,GST Free Expenses,,,,,,,Active,Untracked
CPG,Capsicum Green,,Capsicum Green,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
CPR2,Capsicum Red,,Capsicum Red,5.50,310,GST Free Expenses,,,,,,,Active,Untracked
CRA,Smoked Salmon,,Smoked Salmon,29.95,310,GST Free Expenses,,,,,,,Active,Untracked
CRANBERRY,CRANBERRY SAUCE,,CRANBERRY SAUCE,20.75,310,GST Free Expenses,,,,,,,Active,Untracked
CREDIT NOTE,CREDIT NOTE,,CREDIT NOTE,0.00,,,,,,,,,Active,Untracked
CRM12000,Sour Cream,,Sour Cream,14.50,310,GST Free Expenses,,,,,,,Active,Untracked
CRM12050,THICKENED CREAM,,THICKENED CREAM,14.672,310,GST Free Expenses,,,,,,,Active,Untracked
CRMS12000,Sour Cream 2kg,,Sour Cream 2kg,15.50,310,GST Free Expenses,,,,,,,Active,Untracked
CRMT12050,Pauls Thickened Cream 2Lt Btl,,Pauls Thickened Cream 2Lt Btl,13.10,310,GST Free Expenses,,,,,,,Active,Untracked
Croissant,Croissants,,Croissants,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
CSR,Caster Sugar,,Caster Sugar,18.80,310,GST Free Expenses,,,,,,,Active,Untracked
CUCT,Cucumber,,Cucumber Tele Large - Each,2.20,310,GST Free Expenses,,,,,,,Active,Untracked
Cup T/A 12oz Box,Cup T/A 12oz Box,,Cup T/A 12oz Box,129.00,PACK,GST on Expenses,,,,,,,Active,Untracked
Cup T/A 16oz,Cup T/A 16oz Sleeve,,Cup T/A 16oz Sleeve,4.50,PACK,GST on Expenses,,,,,,,Active,Untracked
Cup T/A 4oz,4oz cups,,4oz cups,3.50,PACK,GST on Expenses,,,,,,,Active,Untracked
Cup T/A 8oz Box,Cup 8oz Box,,Cup 8oz Box,83.50,PACK,GST on Expenses,,,,,,,Active,Untracked
DAin,Milkshake Cups,,Milkshake Cups,3.30,PACK,GST on Expenses,,,,,,,Active,Untracked
Damper Rolls,Damper Rolls,,Damper Rolls,8.80,310,GST Free Expenses,,,,,,,Active,Untracked
DECAF,Decaf Black,,Decaf Black 250g whole Bean,8.75,310,GST on Expenses,,,,,,,Active,Untracked
Desc,Descaler 5L,,Descaler 5L,36.36,460,GST on Expenses,,,,,,,Active,Untracked
Desiccated Coconut,Coconut,,Coconut,7.50,310,GST Free Expenses,,,,,,,Active,Untracked
DIL,Dill,,Dill,3.50,310,GST Free Expenses,,,,,,,Active,Untracked
DMONT,Parmesan Shaved,,Parmesan Shaved,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
DOC,Dark Choc Buttons,,Dark Choc Buttons,40.00,310,GST Free Expenses,,,,,,,Active,Untracked
DOME LIDS,DOME LIDS,,DOME LIDS,14.43,PACK,GST on Expenses,,,,,,,Active,Untracked
Dried Dates,Dried Dates,,Dried Dates,4.54,310,GST Free Expenses,,,,,,,Active,Untracked
Dukkah,Dukkah,,Dukkah,19.00,310,GST Free Expenses,,,,,,,Active,Untracked
EARL GREY,EG,,EG,34.50,310,GST Free Expenses,,,,,,,Active,Untracked
eb40,easy Bake,,easy Bake,35.75,PACK,GST on Expenses,,,,,,,Active,Untracked
ECO,M/Shake Lids,,M/Shake Lids,6.45,PACK,GST on Expenses,,,,,,,Active,Untracked
EDGE,Hash Browns,,Hash Browns,7.30,310,GST Free Expenses,,,,,,,Active,Untracked
ELG,Basil Pesto,,Basil Pesto,24.70,310,GST Free Expenses,,,,,,,Active,Untracked
Engish B/fast Tea,EBT,,EBT,33.50,310,GST Free Expenses,,,,,,,Active,Untracked
English B/Fast Tea,English B/Fast Tea,,English B/Fast Tea,33.50,310,GST Free Expenses,,,,,,,Active,Untracked
EP,Eggplant,,Eggplant,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
Evans Tate Shiraz,Pile Driver,,Pile Driver,13.88,310,GST on Expenses,,,,,,,Active,Untracked
EXHAUST CLEAN,EXHAUST CLEAN,,EXHAUST CLEAN,577.50,460,GST on Expenses,,,,,,,Active,Untracked
FFLJ2B,LEATHERJACKET,,LEATHERJACKET,12.00,310,GST Free Expenses,,,,,,,Active,Untracked
FFNP5B,NILE PERCH,,NILE PERCH,11.00,310,GST Free Expenses,,,,,,,Active,Untracked
FFPEP3S0,Pearl Perch,,Pearl Perch,20.50,310,GST Free Expenses,,,,,,,Active,Untracked
FFSAPNN200,Salmon Portions,,Salmon Portions,25.50,310,GST Free Expenses,,,,,,,Active,Untracked
FFSNGN5E,Goldband Snapper,,Goldband Snapper,20.00,310,GST Free Expenses,,,,,,,Active,Untracked
Filter Clean,Filter Service,,Filter Service,494.62,408,GST on Expenses,,,,,,,Active,Untracked
